Kraina;Powierzchnia;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki Cukrowe;Powierzchnia woj
DOLNOŚLĄSKIE;16.46;15155214;684925;2523291;624157;7763762;10865265;1994674;
KUJAWSKO-POMORSKIE;15.77;9447539;1637747;3511034;346425;6142630;27028793;1797134;
LUBELSKIE;7.73;15474446;1125365;4569166;1812567;6637290;22479166;2512246;
LUBUSKIE;21.18;2454806;941743;990265;206019;1509654;1012071;1398789;
ŁÓDZKIE;7.72;3848314;2526032;1958864;1400524;10537036;3301441;1821895;
MAŁOPOLSKIE;4.04;3610393;115136;1270778;433842;5557953;865355;1518279;
MAZOWIECKIE;8.57;5441529;3258347;1868170;2372864;10340602;8672173;3555847;
OPOLSKIE;18.51;9806159;442169;2935093;211198;3339808;10312023;941187;
PODKARPACKIE;4.77;3364118;208934;777697;576544;6143275;2884007;1784576;
PODLASKIE;12.27;1606559;969421;666735;1196255;1912685;47751;2018702;
POMORSKIE;19.16;7450412;1449530;1790724;894985;5818836;6891798;1831034;
ŚLĄSKIE;7.70;3204695;590798;1099094;435921;2371003;1270009;1233309;
ŚWIĘTOKRZYSKIE;5.67;2518248;271327;1455216;294698;3611521;2648972;1171050;
WARMIŃSKO-MAZURSKIE;22.79;6640596;952691;1612708;754304;2220638;1661575;2417347;
WIELKOPOLSKIE;13.56;10200686;4607039;4996453;1113114;9755692;27502184;2982650;
ZACHODNIOPOMORSKIE;30.35;8055303;2214572;2385613;907369;5062067;7795223;2289248;
